,time,strain,stress,true_strain,true_stress,ML,start file num,제일 처음값,,ml더한값,true_stress
0,0,0,-0.003105556,0,-0.003105556,0.00387647,110,51.3987,,51.40257647,-0.003105556
1,0.1,0.000442,0.770945556,0.000441902,0.771286313,-0.038764698,110,,,51.3599353,0.771286313
2,0.2,0.0009885,1.709607778,0.000988012,1.711297725,-0.076797174,110,,,51.32190283,1.711297725
3,0.3,0.0014945,2.407372222,0.001493384,2.41097004,-0.03949692,110,,,51.35920308,2.41097004
4,0.4,0.0019955,3.061658889,0.001993512,3.067768429,0.002067451,110,,,51.40076745,3.067768429
5,0.5,0.002499,3.651071667,0.002495883,3.660195695,-0.007106861,110,,,51.39159314,3.660195695
6,0.6,0.0029975,4.264928333,0.002993016,4.277712456,-0.071327045,110,,,51.32737296,4.277712456
7,0.7,0.003498,5.261426667,0.003491896,5.279831137,-0.057845544,110,,,51.34085446,5.279831137
8,0.8,0.003999,6.857328889,0.003991025,6.884751347,-0.061377439,110,,,51.33732256,6.884751347
9,0.9,0.0044945,8.141183333,0.00448443,8.177773882,-0.084162467,110,,,51.31453753,8.177773882
10,1,0.0049955,9.483089444,0.004983064,9.530462218,-0.041349012,110,,,51.35735099,9.530462218
11,1.1,0.005499,10.88058056,0.005483936,10.94041287,-0.045268553,110,,,51.35343145,10.94041287
12,1.2,0.0059975,12.31198889,0.005979587,12.38583004,-0.049274239,110,,,51.34942576,12.38583004
13,1.3,0.006501,13.85342,0.00647996,13.94348108,-0.050480252,110,,,51.34821975,13.94348108
14,1.4,0.0069965,15.47362167,0.006972138,15.58188286,-0.038721626,110,,,51.35997837,15.58188286
15,1.5,0.0074945,17.32163278,0.007466556,17.45144975,-0.060860576,110,,,51.33783942,17.45144975
16,1.6,0.007998,19.39090889,0.007966186,19.54599738,-0.096524099,110,,,51.3021759,19.54599738
17,1.7,0.008499,21.8445,0.008463087,22.03015641,-0.085626911,110,,,51.31307309,22.03015641
18,1.8,0.009,24.69870444,0.008959741,24.92099278,-0.092776845,110,,,51.30592316,24.92099278
19,1.9,0.009498,27.78761722,0.009453178,28.05154401,-0.113063703,110,,,51.2856363,28.05154401
20,2,0.0099935,30.979235,0.009943895,31.28882598,-0.15156997,110,,,51.24713003,31.28882598
21,2.1,0.0105,34.32307389,0.010445258,34.68346616,-0.1905931,110,,,51.2081069,34.68346616
22,2.2,0.011001,37.80812333,0.010940929,38.2240505,-0.22573976,110,,,51.17296024,38.2240505
23,2.3,0.011502,41.575075,0.011436355,42.05327151,-0.260240341,110,,,51.13845966,42.05327151
24,2.4,0.012,45.50877667,0.011928571,46.05488199,-0.218848258,110,,,51.17985174,46.05488199
25,2.5,0.0124955,49.52501833,0.012418076,50.1438582,-0.231511393,110,,,51.16718861,50.1438582
26,2.6,0.012999,53.64286389,0.012915238,54.34016748,-0.277512168,110,,,51.12118783,54.34016748
27,2.7,0.0135,57.87444444,0.013409687,58.65574944,-0.272817332,110,,,51.12588267,58.65574944
28,2.8,0.013998,62.11944444,0.013900933,62.98899243,-0.242279364,110,,,51.15642064,62.98899243
29,2.896,0.0144805,66.33777778,0.014376659,67.29838197,-0.271998966,110,,,51.12670103,67.29838197
30,2.994,0.0149705,70.58833333,0.014859548,71.64507598,-0.221992505,110,,,51.17670749,71.64507598
31,3.09,0.0154475,74.77611111,0.015329402,75.93121509,-0.237799888,110,,,51.16090011,75.93121509
32,3.184,0.0159185,79.00166667,0.015793129,80.2592547,-0.222337081,110,,,51.17636292,80.2592547
