#PHOTRON WAVE DATA
#SheetType,,A
#Date,,2021/3/25
#Time,,22:30:0
#CameraType,,FASTCAM SA-X type 324K-M1
#CameraID,,15
#AnalogBoardType,,CONTEC AIO-163202FX-USB,
#AnalogBoardID,,00
#FrameRate(fps),,125
#SaveStep,,1
#ShutterSpeed(sec),,1/1000
#ImageWidth,,256
#ImageHeight,,1024
#TriggerMode,,End
#NumberOfFrames,,17391
#FrameRange,,-17390 to 0
#UseZeroFrame,,1
#SamplingRate(sps),,125.000000
#Sampling/Frame,,1
#NumberOfDatas,,17391
#Sloap,,,1.000000,1.000000
#Intercept,,,0.000000,0.000000

DataNo,FrameNo,SampleNo,Ch0,Ch1
0,-17390,0,0.016174,-0.013733
1,-17389,0,-0.015869,-0.015259
2,-17388,0,0.047607,-0.019836
3,-17387,0,0.077515,-0.000610
4,-17386,0,-0.069580,-0.016785
5,-17385,0,0.024414,-0.003357
6,-17384,0,-0.014343,-0.008240
7,-17383,0,-0.032043,0.006104
8,-17382,0,0.018616,0.002136
9,-17381,0,0.026550,-0.004883
10,-17380,0,0.004272,-0.008850
11,-17379,0,0.006104,0.001831
12,-17378,0,0.005798,-0.014648
13,-17377,0,-0.000916,0.001526
14,-17376,0,0.058899,-0.007019
15,-17375,0,-0.032043,-0.010986
16,-17374,0,-0.026245,-0.026245
17,-17373,0,0.036011,0.003662
18,-17372,0,0.013123,0.027466
19,-17371,0,0.017395,-0.010681
20,-17370,0,0.047302,-0.003967
21,-17369,0,-0.061340,-0.010376
22,-17368,0,0.006104,-0.001221
23,-17367,0,0.012817,0.004272
24,-17366,0,0.014343,0.001831
25,-17365,0,0.025330,-0.009766
26,-17364,0,-0.017395,-0.011902
27,-17363,0,0.007019,-0.020752
28,-17362,0,-0.008850,-0.022278
29,-17361,0,-0.015259,0.010986
30,-17360,0,-0.013733,0.000610
31,-17359,0,0.015564,-0.007629
32,-17358,0,0.034485,-0.014343
33,-17357,0,-0.038452,-0.017090
34,-17356,0,-0.039673,-0.025635
35,-17355,0,-0.020447,-0.031738
36,-17354,0,0.053101,-0.000305
37,-17353,0,-0.047302,-0.011597
38,-17352,0,0.047913,-0.000610
