DataNo,FrameNo,SampleNo,Ch0,Ch1
0,0,0,-0.001221,-0.010986
1,1,0,0.010071,-0.00946
2,2,0,0.00061,-0.00061
3,3,0,-0.010376,-0.009766
4,4,0,0.00885,-0.018921
5,5,0,0.004883,-0.014954
6,6,0,0.005798,-0.013123
7,7,0,-0.014954,-0.012817
8,8,0,-0.006104,-0.011597
9,9,0,0.004272,-0.011902
10,10,0,0.016479,-0.011292
11,11,0,0.004578,-0.010681
12,12,0,-0.009766,-0.005493
13,13,0,0.00946,-0.013123
14,14,0,0.000305,-0.007629
15,15,0,0.012512,-0.012207
16,16,0,0.01709,-0.018921
17,17,0,0.003052,-0.015564
18,18,0,0.005493,-0.009155
19,19,0,0.025635,-0.011902
20,20,0,-0.006409,-0.006104
21,21,0,-0.019531,-0.005188
22,22,0,0.007935,-0.018311
23,23,0,0.004883,-0.012817
24,24,0,0.00061,-0.00885
25,25,0,0.005798,-0.010681
26,26,0,0.007019,-0.014648
27,27,0,-0.00061,-0.007019
28,28,0,0.029907,-0.012207
29,29,0,0.001221,-0.011902
30,30,0,0.003357,-0.009155
31,31,0,0.011292,-0.014038
32,32,0,0.015259,-0.012207
33,33,0,0.003967,-0.014648
34,34,0,0.006409,-0.007019
35,35,0,0.00824,-0.007324
36,36,0,0.024414,-0.011292
37,37,0,0.012512,-0.013428
38,38,0,0.009155,-0.002441
39,39,0,-0.005188,-0.010681
40,40,0,0.003357,-0.00946
41,41,0,0.036011,-0.015259
42,42,0,0.016785,-0.015869
43,43,0,0.00885,-0.008545
44,44,0,0.026855,-0.015259
45,45,0,0.006409,-0.012207
46,46,0,-0.032043,-0.007935
47,47,0,0.015869,-0.012817
48,48,0,-0.018005,-0.009766
49,49,0,0.005188,-0.018311
50,50,0,0.009766,-0.010376
51,51,0,0.013428,-0.014648
52,52,0,0.009766,-0.014038
53,53,0,-0.018921,-0.011902
54,54,0,0.014038,-0.013733
55,55,0,-0.007324,-0.011902
56,56,0,0.013123,-0.021667
57,57,0,-0.00061,-0.006104
58,58,0,0.012512,-0.009155
59,59,0,0.006714,-0.003662
60,60,0,-0.011597,-0.015869
61,61,0,0.014343,-0.013428
62,62,0,0.010071,-0.015564
63,63,0,0.037231,-0.011597
64,64,0,0.01709,-0.013428
65,65,0,0,-0.005798
66,66,0,0.038452,-0.010376
67,67,0,0.019226,-0.011597
68,68,0,0.024414,-0.00946
69,69,0,0.019226,-0.018921
70,70,0,0.011597,-0.011597
71,71,0,0.000305,-0.00946
72,72,0,0.02594,-0.013733
73,73,0,0.016785,-0.009766
74,74,0,-0.003967,-0.012207
75,75,0,0.003052,-0.014343
76,76,0,0,-0.014038
77,77,0,0.007324,-0.009766
78,78,0,0.011597,-0.010376
79,79,0,0.016785,-0.012817
80,80,0,-0.01709,-0.012817
81,81,0,-0.020752,-0.010376
82,82,0,0.006104,-0.004578
83,83,0,0.010071,-0.011902
84,84,0,0.00061,-0.010986
85,85,0,-0.001221,-0.012207
86,86,0,0.003967,-0.010681
87,87,0,0.01709,-0.018311
88,88,0,-0.00061,-0.010071
89,89,0,0.007935,-0.00946
90,90,0,0.016785,-0.01709
91,91,0,0.003052,-0.010986
92,92,0,0.027771,-0.008545
93,93,0,-0.012817,-0.014038
94,94,0,-0.001221,-0.00885
95,95,0,0.016785,-0.005798
96,96,0,-0.007935,-0.010681
97,97,0,-0.004272,-0.019836
98,98,0,-0.004578,-0.007935
99,99,0,0.014038,-0.008545
100,100,0,0.019226,-0.012817
