(sec),(mm),(kgf)
0,0,-0.00169
0.1,0.00536,0.02497
0.2,0.01318,0.08528
0.3,0.01998,0.09944
0.4,0.02662,0.12383
0.5,0.03327,0.14632
0.6,0.04002,0.15684
0.7,0.04666,0.19333
0.8,0.05325,0.20889
0.9,0.06005,0.23128
1,0.0667,0.25847
1.1,0.07329,0.28495
1.2,0.08004,0.29046
1.3,0.08657,0.31197
1.4,0.09321,0.33781
1.5,0.10012,0.37308
1.6,0.10666,0.37352
1.7,0.11325,0.41772
1.8,0.12016,0.43824
1.9,0.12664,0.44067
2,0.13323,0.4587
2.1,0.14004,0.46932
2.2,0.14668,0.52238
2.3,0.15332,0.54073
2.4,0.16007,0.55062
2.5,0.16666,0.55694
2.6,0.17336,0.5734
2.7,0.18,0.61447
2.8,0.18659,0.62997
2.9,0.19334,0.61024
3,0.20004,0.63501
3.1,0.20668,0.643
3.2,0.21337,0.6663
3.3,0.21996,0.69605
3.4,0.22666,0.70265
3.5,0.23341,0.73631
3.6,0.23995,0.7269
3.7,0.24659,0.74906
3.8,0.25345,0.77153
3.9,0.25998,0.77884
4,0.26657,0.79706
4.1,0.27343,0.81486
4.2,0.28002,0.83072
4.3,0.28661,0.86213
4.4,0.29341,0.83889
4.5,0.3,0.88297
4.6,0.30664,0.88845
4.7,0.31345,0.91749
4.8,0.31998,0.9176
4.9,0.32662,0.92468
5,0.33348,0.97488
5.1,0.33996,0.94937
5.2,0.34661,0.93796
5.3,0.3533,0.98395
5.4,0.36,0.98514
5.5,0.3667,0.9988
5.6,0.37334,1.01248
5.7,0.37998,1.02444
5.8,0.38673,1.0587
5.9,0.39332,1.05312
6,0.39991,1.07185
6.1,0.40671,1.11329
6.2,0.4133,1.10657
6.3,0.41995,1.12409
6.4,0.4268,1.11074
6.5,0.43329,1.13537
6.6,0.43998,1.15544
6.7,0.44679,1.16655
6.8,0.45332,1.17669
6.9,0.45991,1.18171
7,0.46677,1.20762
7.1,0.4733,1.21378
7.2,0.47995,1.22581
7.3,0.48675,1.24917
7.4,0.49339,1.23371
7.5,0.49993,1.26258
7.6,0.50673,1.25391
7.7,0.51332,1.26417
7.8,0.51996,1.26926
7.9,0.52671,1.29653
8,0.53336,1.30008
8.1,0.54,1.32098
8.2,0.54664,1.34802
8.3,0.55329,1.34621
8.4,0.56004,1.34769
8.5,0.56662,1.37542
8.6,0.57327,1.36671
8.7,0.58012,1.34429
8.8,0.58661,1.37474
8.9,0.59325,1.42603
9,0.60016,1.41199
9.1,0.60664,1.39718
9.2,0.61329,1.41639
9.3,0.62009,1.45568
9.4,0.62668,1.44828
9.5,0.63327,1.45149
9.6,0.64007,1.47074
9.7,0.64671,1.48129
9.8,0.65336,1.49331
9.9,0.66011,1.46897
10,0.6667,1.5121
10.1,0.67329,1.50197
10.2,0.67998,1.53756
10.3,0.68668,1.52709
10.4,0.69337,1.5445
10.5,0.70002,1.5592
10.6,0.70666,1.54679
10.7,0.71336,1.56953
10.8,0.72,1.57611
10.9,0.72654,1.57207
11,0.73339,1.59992
11.1,0.74004,1.58931
11.2,0.74662,1.59589
11.3,0.75343,1.61722
11.4,0.76002,1.62796
11.5,0.76661,1.63482
11.6,0.77346,1.65189
11.7,0.77989,1.6503
11.8,0.78654,1.64678
11.9,0.7935,1.65282
12,0.79998,1.68411
12.1,0.80657,1.67581
12.2,0.81343,1.68771
12.3,0.82002,1.69425
12.4,0.82661,1.70691
12.5,0.8333,1.70333
12.6,0.84,1.71818
12.7,0.84664,1.72289
12.8,0.85339,1.72131
12.9,0.85998,1.72887
13,0.86673,1.75291
13.1,0.87337,1.72919
13.2,0.87996,1.73446
13.3,0.88666,1.76356
13.4,0.8933,1.77809
13.5,0.89995,1.76267
13.6,0.90675,1.76612
13.7,0.91334,1.78963
13.8,0.91998,1.784
13.9,0.92679,1.80661
14,0.93332,1.80568
14.1,0.93986,1.81668
14.2,0.94671,1.80118
14.3,0.95336,1.82669
14.4,0.96,1.83446
14.5,0.9668,1.83486
14.6,0.97334,1.83161
14.7,0.97993,1.86446
14.8,0.98673,1.86902
14.9,0.99327,1.87145
15,0.99996,1.88122
15.1,1.00677,1.88177
15.2,1.01336,1.88033
15.3,1.02,1.89014
15.4,1.0267,1.88514
15.5,1.03334,1.89863
15.6,1.04004,1.88621
15.7,1.04662,1.89015
15.8,1.05327,1.93337
15.9,1.06012,1.92695
16,1.06666,1.92909
16.1,1.07325,1.92718
16.2,1.08011,1.91921
16.3,1.0867,1.95944
16.4,1.09329,1.96089
16.5,1.10004,1.9516
16.6,1.10662,1.96968
16.7,1.11327,1.96735
16.8,1.12012,1.97153
16.9,1.12666,1.97599
17,1.1333,2.00049
17.1,1.14016,1.98993
17.2,1.1467,2.00086
17.3,1.15323,1.98203
17.4,1.16003,1.99564
17.5,1.16668,2.01731
17.6,1.17332,1.99905
17.7,1.18007,2.02506
17.8,1.18666,2.02865
17.9,1.19336,2.05156
18,1.2,2.04758
18.1,1.20653,2.04605
18.2,1.21334,2.0584
18.3,1.22003,2.07532
18.4,1.22668,2.06782
18.5,1.23343,2.06118
18.6,1.23996,2.04804
18.7,1.24661,2.07641
18.8,1.25341,2.08418
18.9,1.25989,2.07651
19,1.26659,2.1026
19.1,1.2735,2.07761
19.2,1.27998,2.0977
19.3,1.28657,2.09915
19.4,1.29348,2.09407
19.5,1.30002,2.11628
19.6,1.30661,2.12233
19.7,1.31336,2.136
19.8,1.32,2.13765
19.9,1.32664,2.14695
