teta  eps_rr  eps_tt  eps_rt  
0.000000    0.02796964  0.80683684  -0.00000000
0.515662    0.02797400  0.80682237  0.00744129
1.031324    0.02798707  0.80677893  0.01488297
1.546986    0.02800887  0.80670642  0.02232543
2.062648    0.02803937  0.80660465  0.02976904
2.578310    0.02807859  0.80647337  0.03721418
3.093972    0.02812652  0.80631228  0.04466122
3.609634    0.02818316  0.80612097  0.05211049
4.125296    0.02824851  0.80589900  0.05956232
4.640958    0.02832256  0.80564583  0.06701703
5.156620    0.02840531  0.80536087  0.07447490
5.672282    0.02849676  0.80504345  0.08193618
6.187944    0.02859690  0.80469285  0.08940111
6.703606    0.02870572  0.80430825  0.09686988
7.219268    0.02882322  0.80388880  0.10434266
7.734930    0.02894939  0.80343356  0.11181958
8.250592    0.02908423  0.80294154  0.11930071
8.766254    0.02922773  0.80241168  0.12678610
9.281916    0.02937987  0.80184286  0.13427575
9.797578    0.02954065  0.80123389  0.14176961
10.313240    0.02971006  0.80058353  0.14926757
10.828902    0.02988809  0.79989048  0.15676947
11.344564    0.03007472  0.79915338  0.16427510
11.860226    0.03026994  0.79837081  0.17178419
12.375888    0.03047373  0.79754132  0.17929640
12.891550    0.03068608  0.79666336  0.18681133
13.407212    0.03090697  0.79573537  0.19432852
13.922874    0.03113638  0.79475573  0.20184743
14.438536    0.03137429  0.79372276  0.20936745
14.954198    0.03162069  0.79263475  0.21688789
15.469860    0.03187553  0.79148994  0.22440801
15.985522    0.03213881  0.79028652  0.23192696
16.501184    0.03241050  0.78902267  0.23944383
17.016847    0.03269056  0.78769649  0.24695761
17.532509    0.03297896  0.78630607  0.25446721
18.048171    0.03327568  0.78484948  0.26197148
18.563833    0.03358068  0.78332474  0.26946913
19.079495    0.03389391  0.78172984  0.27695882
19.595157    0.03421534  0.78006277  0.28443911
20.110819    0.03454494  0.77832148  0.29190844
20.626481    0.03488265  0.77650390  0.29936520
21.142143    0.03522842  0.77460795  0.30680764
21.657805    0.03558222  0.77263155  0.31423393
22.173467    0.03594398  0.77057259  0.32164214
22.689129    0.03631365  0.76842896  0.32903025
23.204791    0.03669117  0.76619857  0.33639611
23.720453    0.03707648  0.76387930  0.34373750
24.236115    0.03746951  0.76146905  0.35105207
24.751777    0.03787021  0.75896572  0.35833738
25.267439    0.03827848  0.75636725  0.36559088
25.783101    0.03869427  0.75367156  0.37280992
26.298763    0.03911749  0.75087661  0.37999175
26.814425    0.03954805  0.74798038  0.38713350
27.330087    0.03998587  0.74498088  0.39423222
27.845749    0.04043087  0.74187615  0.40128482
28.361411    0.04088294  0.73866427  0.40828815
28.877073    0.04134199  0.73534335  0.41523892
29.392735    0.04180790  0.73191156  0.42213377
29.908397    0.04228059  0.72836711  0.42896921
30.424059    0.04275992  0.72470828  0.43574168
30.939721    0.04324580  0.72093338  0.44244750
31.455383    0.04373808  0.71704080  0.44908290
31.971045    0.04423666  0.71302901  0.45564403
32.486707    0.04474139  0.70889653  0.46212694
33.002369    0.04525214  0.70464197  0.46852759
33.518031    0.04576877  0.70026401  0.47484185
34.033693    0.04629113  0.69576144  0.48106552
34.549355    0.04681907  0.69113311  0.48719432
35.065017    0.04735244  0.68637798  0.49322388
35.580679    0.04789106  0.68149512  0.49914977
36.096341    0.04843478  0.67648369  0.50496749
36.612003    0.04898342  0.67134297  0.51067248
37.127665    0.04953680  0.66607234  0.51626012
37.643327    0.05009474  0.66067132  0.52172573
38.158989    0.05065705  0.65513953  0.52706458
38.674651    0.05122353  0.64947673  0.53227191
39.190313    0.05179398  0.64368282  0.53734292
39.705975    0.05236820  0.63775780  0.54227276
40.221637    0.05294596  0.63170186  0.54705658
40.737299    0.05352706  0.62551530  0.55168949
41.252961    0.05411127  0.61919857  0.55616661
41.768623    0.05469836  0.61275228  0.56048303
42.284285    0.05528810  0.60617721  0.56463387
42.799947    0.05588024  0.59947426  0.56861424
43.315609    0.05647453  0.59264453  0.57241928
43.831271    0.05707074  0.58568925  0.57604415
44.346933    0.05766859  0.57860986  0.57948406
44.862595    0.05826782  0.57140794  0.58273423
45.378257    0.05886817  0.56408524  0.58578998
45.893919    0.05946937  0.55664371  0.58864665
46.409581    0.06007113  0.54908545  0.59129969
46.925243    0.06067317  0.54141277  0.59374460
47.440905    0.06127521  0.53362814  0.59597700
47.956567    0.06187694  0.52573422  0.59799259
48.472229    0.06247808  0.51773384  0.59978721
48.987891    0.06307831  0.50963003  0.60135679
49.503553    0.06367733  0.50142600  0.60269743
50.019216    0.06427483  0.49312515  0.60380536
50.534878    0.06487050  0.48473104  0.60467696
51.050540    0.06546401  0.47624745  0.60530881
51.566202    0.06605505  0.46767832  0.60569764
52.081864    0.06664329  0.45902778  0.60584039
52.597526    0.06722839  0.45030012  0.60573422
53.113188    0.06781003  0.44149984  0.60537648
53.628850    0.06838787  0.43263160  0.60476478
53.869492    0.06870713  0.42767720  0.60431440
53.972624    0.06882174  0.42588901  0.60413285
54.075757    0.06893617  0.42409845  0.60394099
54.178889    0.06905043  0.42230555  0.60373882
54.282022    0.06916450  0.42051035  0.60352631
54.385154    0.06927839  0.41871291  0.60330345
54.488286    0.06939209  0.41691325  0.60307024
54.591419    0.06950561  0.41511142  0.60282665
54.694551    0.06961893  0.41330746  0.60257268
54.797684    0.06973206  0.41150142  0.60230832
54.900816    0.06984499  0.40969333  0.60203354
55.003948    0.06995772  0.40788324  0.60174835
55.107081    0.07007025  0.40607119  0.60145273
55.210213    0.07018258  0.40425723  0.60114667
55.313346    0.07029469  0.40244139  0.60083016
55.416478    0.07040659  0.40062373  0.60050320
55.519610    0.07051828  0.39880428  0.60016577
55.622743    0.07062976  0.39698309  0.59981787
55.725875    0.07074101  0.39516020  0.59945948
55.829008    0.07085204  0.39333567  0.59909061
55.932140    0.07096285  0.39150952  0.59871124
56.035272    0.07107343  0.38968182  0.59832138
56.138405    0.07118378  0.38785259  0.59792100
56.241537    0.07129389  0.38602190  0.59751012
56.344670    0.07140377  0.38418978  0.59708872
56.447802    0.07151342  0.38235628  0.59665680
56.550934    0.07162282  0.38052145  0.59621436
56.654067    0.07173197  0.37868533  0.59576139
56.757199    0.07184088  0.37684797  0.59529789
56.860332    0.07194954  0.37500942  0.59482387
56.963464    0.07205795  0.37316972  0.59433931
57.066596    0.07216610  0.37132893  0.59384422
57.169729    0.07227400  0.36948708  0.59333860
57.272861    0.07238163  0.36764423  0.59282244
57.375994    0.07248901  0.36580043  0.59229576
57.479126    0.07259611  0.36395571  0.59175854
57.582258    0.07270295  0.36211014  0.59121080
57.685391    0.07280951  0.36026376  0.59065253
57.788523    0.07291581  0.35841662  0.59008374
57.891656    0.07302182  0.35656877  0.58950443
57.994788    0.07312756  0.35472025  0.58891461
58.097920    0.07323301  0.35287112  0.58831428
58.201053    0.07333818  0.35102143  0.58770345
58.304185    0.07344305  0.34917122  0.58708212
58.407318    0.07354764  0.34732055  0.58645030
58.510450    0.07365194  0.34546946  0.58580800
58.613582    0.07375594  0.34361802  0.58515522
58.716715    0.07385964  0.34176625  0.58449198
58.819847    0.07396304  0.33991423  0.58381827
58.922980    0.07406613  0.33806200  0.58313413
59.026112    0.07416892  0.33620960  0.58243954
59.129244    0.07427140  0.33435710  0.58173453
59.232377    0.07437356  0.33250454  0.58101910
59.335509    0.07447541  0.33065198  0.58029327
59.438642    0.07457695  0.32879946  0.57955705
59.541774    0.07467816  0.32694704  0.57881046
59.644906    0.07477905  0.32509477  0.57805351
59.748039    0.07487961  0.32324270  0.57728621
59.851171    0.07497985  0.32139089  0.57650858
59.954304    0.07507975  0.31953939  0.57572063
60.057436    0.07517932  0.31768824  0.57492239
60.160568    0.07527855  0.31583751  0.57411386
60.263701    0.07537745  0.31398725  0.57329508
60.366833    0.07547600  0.31213750  0.57246605
60.469966    0.07557421  0.31028833  0.57162680
60.573098    0.07567206  0.30843978  0.57077734
60.676231    0.07576957  0.30659192  0.56991770
60.779363    0.07586673  0.30474478  0.56904791
60.882495    0.07596353  0.30289844  0.56816797
60.985628    0.07605998  0.30105293  0.56727792
61.088760    0.07615606  0.29920832  0.56637778
61.191893    0.07625178  0.29736466  0.56546757
61.295025    0.07634714  0.29552200  0.56454731
61.398157    0.07644213  0.29368040  0.56361705
61.501290    0.07653674  0.29183991  0.56267679
61.604422    0.07663099  0.29000059  0.56172657
61.707555    0.07672485  0.28816249  0.56076642
61.810687    0.07681834  0.28632566  0.55979636
61.913819    0.07691145  0.28449017  0.55881642
62.016952    0.07700417  0.28265606  0.55782664
62.120084    0.07709651  0.28082339  0.55682705
62.223217    0.07718845  0.27899222  0.55581767
62.326349    0.07728001  0.27716260  0.55479854
62.429481    0.07737117  0.27533458  0.55376969
62.532614    0.07746194  0.27350822  0.55273116
62.635746    0.07755231  0.27168358  0.55168298
62.738879    0.07764227  0.26986072  0.55062519
62.842011    0.07773183  0.26803968  0.54955782
62.945143    0.07782099  0.26622052  0.54848091
63.048276    0.07790973  0.26440330  0.54739449
63.151408    0.07799807  0.26258807  0.54629862
63.254541    0.07808599  0.26077489  0.54519331
63.357673    0.07817349  0.25896382  0.54407863
63.460805    0.07826058  0.25715490  0.54295459
63.563938    0.07834724  0.25534821  0.54182126
63.667070    0.07843348  0.25354378  0.54067866
63.770203    0.07851930  0.25174168  0.53952685
63.873335    0.07860468  0.24994196  0.53836586
63.976467    0.07868964  0.24814468  0.53719575
64.079600    0.07877416  0.24634990  0.53601655
64.182732    0.07885824  0.24455766  0.53482831
64.285865    0.07894189  0.24276803  0.53363109
64.388997    0.07902510  0.24098106  0.53242492
64.492129    0.07910786  0.23919680  0.53120986
64.595262    0.07919018  0.23741532  0.52998595
64.698394    0.07927205  0.23563666  0.52875325
64.801527    0.07935348  0.23386089  0.52751181
64.904659    0.07943445  0.23208806  0.52626167
65.007791    0.07951496  0.23031821  0.52500290
65.110924    0.07959502  0.22855142  0.52373554
65.214056    0.07967462  0.22678773  0.52245965
65.317189    0.07975376  0.22502720  0.52117528
65.420321    0.07983244  0.22326988  0.51988250
65.523453    0.07991065  0.22151584  0.51858135
65.626586    0.07998839  0.21976511  0.51727189
65.729718    0.08006567  0.21801777  0.51595419
65.832851    0.08014247  0.21627386  0.51462829
65.935983    0.08021879  0.21453344  0.51329427
66.039115    0.08029465  0.21279656  0.51195218
66.142248    0.08037002  0.21106328  0.51060208
66.245380    0.08044491  0.20933365  0.50924404
66.348513    0.08051932  0.20760773  0.50787811
66.451645    0.08059324  0.20588556  0.50650437
66.554777    0.08066668  0.20416722  0.50512287
66.657910    0.08073963  0.20245273  0.50373369
66.761042    0.08081209  0.20074218  0.50233688
66.864175    0.08088405  0.19903559  0.50093252
66.967307    0.08095552  0.19733304  0.49952068
67.070439    0.08102650  0.19563456  0.49810141
67.173572    0.08109697  0.19394022  0.49667480
67.276704    0.08116694  0.19225007  0.49524090
67.379837    0.08123641  0.19056416  0.49379981
67.482969    0.08130538  0.18888254  0.49235157
67.586102    0.08137384  0.18720527  0.49089627
67.689234    0.08144179  0.18553240  0.48943399
67.792366    0.08150923  0.18386397  0.48796478
67.895499    0.08157615  0.18220004  0.48648874
67.998631    0.08164257  0.18054067  0.48500594
68.101764    0.08170846  0.17888590  0.48351644
68.204896    0.08177384  0.17723579  0.48202033
68.308028    0.08183870  0.17559038  0.48051770
68.411161    0.08190304  0.17394972  0.47900860
68.514293    0.08196685  0.17231388  0.47749314
68.617426    0.08203014  0.17068288  0.47597138
68.720558    0.08209291  0.16905680  0.47444340
68.823690    0.08215514  0.16743567  0.47290930
68.926823    0.08221685  0.16581954  0.47136915
69.029955    0.08227802  0.16420847  0.46982303
69.133088    0.08233866  0.16260250  0.46827103
69.236220    0.08239876  0.16100168  0.46671323
69.339352    0.08245833  0.15940606  0.46514973
69.442485    0.08251736  0.15781568  0.46358060
69.545617    0.08257585  0.15623060  0.46200593
69.648750    0.08263380  0.15465086  0.46042581
69.751882    0.08269121  0.15307650  0.45884032
69.855014    0.08274807  0.15150758  0.45724957
69.958147    0.08280439  0.14994414  0.45565363
70.061279    0.08286015  0.14838622  0.45405259
70.164412    0.08291538  0.14683387  0.45244656
70.267544    0.08297005  0.14528714  0.45083561
70.370676    0.08302416  0.14374607  0.44921985
70.473809    0.08307773  0.14221070  0.44759935
70.576941    0.08313074  0.14068108  0.44597423
70.680074    0.08318320  0.13915724  0.44434457
70.783206    0.08323510  0.13763925  0.44271046
70.886338    0.08328644  0.13612712  0.44107200
70.989471    0.08333722  0.13462092  0.43942930
71.092603    0.08338744  0.13312068  0.43778243
71.195736    0.08343710  0.13162643  0.43613151
71.298868    0.08348620  0.13013823  0.43447662
71.402000    0.08353473  0.12865611  0.43281787
71.505133    0.08358269  0.12718011  0.43115536
71.608265    0.08363009  0.12571028  0.42948917
71.711398    0.08367692  0.12424664  0.42781943
71.814530    0.08372319  0.12278924  0.42614621
71.917662    0.08376888  0.12133812  0.42446963
72.020795    0.08381400  0.11989331  0.42278978
72.123927    0.08385855  0.11845485  0.42110677
72.227060    0.08390253  0.11702278  0.41942070
72.330192    0.08394593  0.11559713  0.41773167
72.433324    0.08398876  0.11417794  0.41603978
72.536457    0.08403101  0.11276524  0.41434513
72.639589    0.08407269  0.11135907  0.41264784
72.742722    0.08411378  0.10995946  0.41094800
72.845854    0.08415430  0.10856644  0.40924572
72.948986    0.08419424  0.10718005  0.40754109
73.052119    0.08423360  0.10580032  0.40583424
73.155251    0.08427238  0.10442727  0.40412525
73.258384    0.08431058  0.10306095  0.40241424
73.361516    0.08434819  0.10170138  0.40070131
73.464648    0.08438522  0.10034859  0.39898657
73.567781    0.08442167  0.09900261  0.39727013
73.670913    0.08445753  0.09766346  0.39555208
73.774046    0.08449281  0.09633118  0.39383254
73.877178    0.08452750  0.09500580  0.39211161
73.980311    0.08456161  0.09368733  0.39038940
74.083443    0.08459513  0.09237581  0.38866601
74.186575    0.08462806  0.09107126  0.38694156
74.289708    0.08466040  0.08977370  0.38521615
74.392840    0.08469215  0.08848317  0.38348988
74.495973    0.08472332  0.08719967  0.38176287
74.599105    0.08475390  0.08592325  0.38003521
74.702237    0.08478388  0.08465390  0.37830702
74.805370    0.08481328  0.08339167  0.37657841
74.908502    0.08484208  0.08213656  0.37484947
75.011635    0.08487030  0.08088861  0.37312032
75.114767    0.08489792  0.07964782  0.37139107
75.217899    0.08492495  0.07841422  0.36966181
75.321032    0.08495139  0.07718782  0.36793267
75.424164    0.08497723  0.07596865  0.36620373
75.527297    0.08500249  0.07475671  0.36447512
75.630429    0.08502715  0.07355202  0.36274692
75.733561    0.08505122  0.07235461  0.36101926
75.836694    0.08507469  0.07116447  0.35929224
75.939826    0.08509757  0.06998164  0.35756595
76.042959    0.08511986  0.06880611  0.35584051
76.146091    0.08514156  0.06763790  0.35411602
76.249223    0.08516266  0.06647703  0.35239258
76.352356    0.08518317  0.06532350  0.35067029
76.455488    0.08520309  0.06417732  0.34894927
76.558621    0.08522241  0.06303850  0.34722961
76.661753    0.08524114  0.06190706  0.34551142
